Dokument-ID	Dokumenttyp	Verfasser/Autoren	Herausgeber	Haupttitel	Abstract	Auflage	Verlagsort	Verlag	Erscheinungsjahr	Seitenzahl	Schriftenreihe Titel	Schriftenreihe Bandzahl	ISBN	Quelle der Hochschulschrift	Konferenzname	Quelle:Titel	Quelle:Jahrgang	Quelle:Heftnummer	Quelle:Erste Seite	Quelle:Letzte Seite	URN	DOI	Abteilungen
OPUS4-44173	Teil eines Buches	Marszalek, Magdalena	Marszalek, Magdalena; Herbst, Dominika	Erfahrung, Zeugnis, Wissen			Berlin	Kulturverlag Kadmos	2019	8	Testimoniale Strategien : vom Dokumentarismus zwischen den Weltkriegen hin zu medialen Assemblagen der Gegenwart		978-3-86599-421-9					 	7	15			Historisches Institut
OPUS4-44174	Teil eines Buches	Marszalek, Magdalena	Marsza&#322;ek, Magdalena; Herbst, Dominika	Dokumentarismus als Herausforderung der Literatur			Berlin	Kulturverlag Kadmos	2019	22	Testimoniale Strategien : vom Dokumentarismus zwischen den Weltkriegen hin zu medialen Assemblagen der Gegenwart		978-3-86599-421-9					 	64	86			Historisches Institut
OPUS4-44176	Wissenschaftlicher Artikel	Marszalek, Magdalena	Nicolosi, Riccardo; Obermayr, Brigitte; Weller, Nina	Zeugnis und kontrafaktisches Erz�hlen			Paderborn	Ferdinand Sch�ningh	2019	11	Interventionen in die Zeit : Kontrafaktisches Erz�hlen und Erinnerungskultur		978-3-506-78733-0					 	35	46			Historisches Institut
OPUS4-44177	Wissenschaftlicher Artikel	Marszalek, Magdalena	Nell, Werner; Weiland, Marc	Das Dorf als Erinnerungsraum			Stuttgart	J.B. Metzler	2019	8	Dorf : ein interdisziplin�res Handbuch		978-3-476-02625-5					 	348	356			Historisches Institut
OPUS4-43136	Wissenschaftlicher Artikel	K�stler, Andreas		Vorwort			Wien	K�nigshausen & Neumann	2019	0	Fontanes Briefe im Kontext		978-3-8260-6097-7					 	7	7			Historisches Institut
OPUS4-43139	Buch (Monographie)	Gl�ckner, Olaf; Wahdat-Hagh, Wahied		Integrationsbedarfe und Einstellungsmuster von Gefl�chteten im Land Brandenburg	Rund 40.000 Gefl�chtete hat das Land Brandenburg im Zeitraum von 2015 bis 2017 aufgenommen. Viele von ihnen sind aus dem Mittleren Osten und Afrika, teilweise auch aus Russland (Tschetschenien) gekommen. Gef�rdert vom B�ndnis f�r Brandenburg, haben Forscher des Moses Mendelssohn Zentrums (Universit�t Potsdam) zahlreiche Gruppeninterviews mit Menschen aus Syrien, Afghanistan, Eritrea und Tschetschenien gef�hrt und einheimische Integrationsexperten befragt. Welche Integrationserfolge, Defizite und kulturellen Differenzen erleben Frauen, M�nner, Jugendliche und Kinder aus den genannten Herkunftsl�ndern? Was erschlie�t ihnen neue Welten, und wo ergeben sich objektive Konflikte? Aus den Ergebnissen der Studie wurden Handlungsempfehlungen f�r die Landes- und Kommunalpolitik abgeleitet. Alle interviewten Gruppen w�nschten sich intensiveren Kontakt zu Einheimischen - eine Chance und Herausforderung zugleich f�r die hiesige Zivilgesellschaft.		Potsdam	Universit�tsverlag Potsdam	2019	100			978-3-86956-471-5					 			urn:nbn:de:kobv:517-opus4-431395	10.25932/publishup-43139	Moses Mendelssohn Zentrum f�r europ�isch-j�dische Studien e. V.
OPUS4-43161	Buch (Monographie)	Bossen, Anja		Sprachbewusster Musikunterricht			M�nster	Waxmann	2019	276			978-3-8309-3429-5					 					Department Erziehungswissenschaft
OPUS4-43119	Dissertation	Vorholt, Dominik		Konkurrenzausschluss bei deutschen Wirtschaftsverb�nden	Die deutschen Wirtschaftsverb�nde geraten zunehmend unter Konkurrenzdruck. Immer mehr Verb�nde werben um dieselbe Mitgliederklientel und haben einen �hnlichen Themenzuschnitt. Dar�ber hinaus betreiben immer mehr Mitgliedsunternehmen eigene politische Interessenvertretung. Die vorliegende Studie untersucht auf der Grundlage des aus der Evolutionsbiologie stammenden Population Ecology-Ansatzes, wie die Verb�nde mit dieser Konkurrenz umgehen.		Berlin	Lit	2019	231			978-3-64314-296-2					 					Wirtschaftswissenschaften
OPUS4-43125	Buch (Monographie)		Roever, Carsten; Wigglesworth, Gillian	Social perspectives on language testing	Tim McNamara's work has had a fundamental impact on language testing. This volume brings together over 20 leading scholars in language assessment whose work has been influenced by Tim McNamara. Their papers cover issues of the social impact of language tests, such as fairness and justice of test use and language testing in the context of migration. They also address testing of interaction, and teachers' and students' views of language tests. The volume concludes with papers discussing the future of language testing in the face of contested concepts of validity, the rise of social media, and lingua franca language use.		Berlin	Lang	2019	252	Language testing and evaluation ; 41		978-3-631-78009-1					 					Institut f�r Anglistik und Amerikanistik
OPUS4-43128	Buch (Monographie)		Hahn, Peter-Michael; K�rbis, Holger	Schriften zur Reise Herzog Friedrichs von Sachsen-Gotha nach Frankreich und Italien 1667 und 1668	Mit der dreib�ndigen Edition s�mtlicher Schriften zur Reise Herzog Friedrichs I. von Sachsen-Gotha nach Frankreich und Italien in den Jahren 1667 und 1668 liegt die erste umfassende Dokumentation einer fr�hneuzeitlichen Prinzenreise vor. Die Ver�ffentlichung verdeutlicht den zeitgen�ssischen Charakter dieser Reiseform und ihren intendierten Nutzen, der weit �ber die pers�nliche Bildung eines Reisenden hinausreichte. Neben dem eigenh�ndigen Bericht des Herzogs wird ein paralleler Bericht seines Reisedirektors ediert. Erg�nzt werden beide Berichte durch die Briefe, die zwischen den Reisenden und dem heimischen Hof gewechselt wurden. Weitere Texte veranschaulichen die intensive Vorbereitung der Tour. Dazu geh�ren auch einige landeskundliche Schriften, die im unmittelbaren Vorfeld der Reise entstanden. Eine Dokumentation der vollst�ndigen Reiserechnungen rundet die Edition ab.		K�ln	B�hlau	2019	546			978-3-41251-338-2					 					Historisches Institut
OPUS4-43129	Buch (Monographie)		Hahn, Peter-Michael; K�rbis, Holger	Schriften zur Reise Herzog Friedrichs von Sachsen-Gotha nach Frankreich und Italien 1667 und 1668			Wien	B�hlau	2019	660			978-3-41251-338-2					 					Historisches Institut
OPUS4-43130	Buch (Monographie)		Hahn, Peter-Michael; K�rbis, Holger	Schriften zur Reise Herzog Friedrichs von Sachsen-Gotha nach Frankreich und Italien 1667 und 1668			Wien	B�hlau	2019	374			978-3-41251-338-2					 					Historisches Institut
OPUS4-43132	Buch (Monographie)		Wolzogen, Hanna Detlef von; K�stler, Andreas	Fontanes Briefe im Kontext			W�rzburg	K�nigshausen & Neumann	2019	283	Fontaneana ; 16		978-3-8260-6097-7					 					Historisches Institut
OPUS4-43133	Wissenschaftlicher Artikel	Falk, Rainer		Fontanes Postkarten			W�rzburg	K�nigshausen & Neumann	2019	18	Fontanes Briefe im Kontext		978-3-8260-6097-7					 	51	69			Historisches Institut
OPUS4-43135	Wissenschaftlicher Artikel	M�ller, Klaus-Peter		Blaustift, Schere, Klebepinsel			Wien	K�nigshausen & Neumann	2019	32			978-3-8260-6097-7					 	91	123			Historisches Institut
OPUS4-42902	Wissenschaftlicher Artikel	Thielicke, Hubert		Der Lotse ging von Bord?			Potsdam	WeltTrends	2019	3	WeltTrends : das au�enpolitische Journal	27	978-3-947802-05-0					 151	14	17			WeltTrends e.V. Potsdam
OPUS4-42903	Wissenschaftlicher Artikel	Kleinw�chter, Lutz; Scheler, Wolfgang; Schreiber, Wilfried; Thielicke, Hubert		Entmilitarisierung der Sicherheit!			Potsdam	WeltTrends	2019	4	WeltTrends : das au�enpolitische Journal	151	978-3-947802-05-0					 	46	50			WeltTrends e.V. Potsdam
OPUS4-42905	Dissertation	Streeck, Eva-Maria		Die rechtsgesch�ftliche �bertragung von Kommanditanteilen	Dieses Buch befasst sich mit der Anteils�bertragung von Kommanditanteilen, die von der Rechtsprechung zwar l�ngst anerkannt ist, jedoch vom Gesetzgeber bislang nicht geregelt wurde. Bei der Eintragung einer solchen Anteils�bertragung in das Handelsregister unterlaufen in der Praxis h�ufig Fehler, deren jeweilige haftungsrechtliche Konsequenz die Autorin eingehend untersucht. Im Zentrum der Arbeit steht die These, dass die Nichteintragung des Sonderrechtsnachfolgevermerkes zu keiner doppelten Haftung von Neu- und Altkommanditist f�hrt.		Wiesbaden	Springer	2019	XIV, 169			978-3-658-25348-6					 					�ffentliches Recht
OPUS4-42841	Dissertation	John, Emanuel		Die Negativit�t des Sittlichen	Hat f�r Personen eine ethische Auseinandersetzung mit ihrem Leiden an Problemen und Konflikten gegen�ber strategischen und technischen L�sungen eine Bedeutung? Diese Abhandlung zeigt, dass Ans�tze philosophischer Ethik, die von formalen Prinzipien, menschlichen Lebensformen oder sozialen Praktiken ausgehen, diese Frage unzureichend beantworten. Zu deren Beantwortung werden stattdessen ethische Subjektivit�t in der Klage �ber Leid, ethische �berlegungen als Negation von Leid und ethischer Dialog als �berwindung von Leid er�rtert.		Freiburg	Alber	2019	339	Praktische Philosophie ; 95		978-3-495-49059-4					 					Institut f�r Philosophie
OPUS4-43566	Dissertation	Westendorf, Martin		Der Betrieb gewerblicher Art	Die Arbeit untersucht die Grundlagen der Besteuerung der �ffentlichen Hand, hier insbesondere die geschichtliche Entwicklung des Betriebs gewerblicher Art und die seit 2009 geltende Querverbundsystematik. Es wird die Entwicklung der einzelnen Tatbest�nde bis hin zur tatbestandsm��igen Zusammenfassung einzelner Betriebe gewerblicher Art untersucht. Dabei stehen immer wieder die Wettbewerbssystematik und der steuerliche Gleichbehandlungsgrundsatz im Diskussionsmittelpunkt. Nachstehend schlie�t sich ein Vergleich zwischen dem horizontalen und vertikalen Querverbund an, der die grundlegenden Rechtsfolgen und die dauerdefizit�ren Bet�tigungen umfasst. Das Ergebnis zeigt auf, dass die �ffentliche Hand mit ihrem wahlweisen horizontalen Querverbund und der fehlenden Gewinnerzielungsabsicht erhebliche Vorteile gegen�ber privatrechtlich gef�hrten Unternehmensformen genie�t und somit erhebliches Steuersparpotential generiert.		Berlin	Duncker & Humblot	2019	362	Schriften zum Steuerrecht ; 147		978-3-428-15783-9					 					�ffentliches Recht
OPUS4-43671	Dissertation	Kotal�k, Mat&#283;j		Rowdytum im Staatssozialismus	Rowdytum, ein Begriff, der im russischen Zarenreich f�r die Ungezogenheit niederer Schichten stand, bezeichnet heute vor allem die Gewaltexzesse von Fu�ballfans. In der Sowjetunion und im �brigen Ostblock war Rowdytum viel mehr: ein Sinnbild abweichenden Verhaltens, eine unscharf definierte Straftat, ein willk�rliches Stigma, das jeden treffen konnte. Matej Kotal�k erforscht das Rowdytum grenz�bergreifend und verfolgt dessen Geobiografie von der Sowjetunion in die CS(S)R und in die DDR, von 1956 bis 1989. Seine Bilanz ist ambivalent. Ungeachtet sowjetischer Impulse war der entsprechende Straftatbestand durch eigene Rechtstraditionen beider L�nder gepr�gt. Als Alltagserscheinung markierte Rowdytum die Grenzen des gesellschaftlich Akzeptablen, die in den 1960er Jahren zugleich neu verhandelt wurden. Die Polizeigewalt gegen Au�enseiter wandelte sich in einer individualisierten Gesellschaft zunehmend zum Streitpunkt zwischen dem Staat und seinen B�rgern.		Berlin	Ch. Links Verlag	2019	399	Kommunismus und Gesellschaft ; 10		978-3-96289-071-1					 					Historisches Institut
OPUS4-43743	Buch (Monographie)	Medicus, Dieter; Petersen, Jens		B�rgerliches Recht	Der �Medicus� komprimiert das examensrelevante Wissen zum B�rgerlichen Recht. Das Werk ist Lehrbuch, Handbuch und Repetitorium zugleich und kann auf vielf�ltige Art genutzt werden: Man kann es systematisch durcharbeiten, es punktuell zu bestimmten Fragekomplexen heranziehen oder es vor dem Examen zur Wissens�berpr�fung und Wiederholung in die Hand nehmen. F�r die Neuauflage wurden die aktuellen Gesetzes�nderungen eingearbeitet. Zudem ist gerade in den letzten beiden Jahren eine F�lle examensrelevanter Rechtsprechung - namentlich zu den ersten beiden B�chern des BGB - ergangen, die ber�cksichtigt wurde.	27. Aufl.	M�nchen	Vahlen	2019	506	Academia Iuris		978-3-8006-6083-4					 					B�rgerliches Recht
OPUS4-43745	Buch (Monographie)	Granzow-Emden, Matthias; Luber, Johannes		Deutsche Grammatik verstehen und unterrichten	Diese neuartige Einf�hrung in die deutsche Grammatik verbindet schulgrammatisches Wissen und neuere Grammatikmodelle in anschaulicher und verst�ndlicher Weise miteinander. Lehramtsstudierende k�nnen sich damit die Kenntnisse und Kompetenzen aneignen, die sie f�r ihr Studium und ihren k�nftigen Beruf brauchen, erfahrene Lehrkr�fte erhalten wichtige Impulse f�r neue Wege im Deutschunterricht. Mit den funktional orientierten Erkl�rungen zum Feldermodell und den zahlreichen systematisch gestalteten Tabellen im Bereich der Verben, Nomen/Nominalgruppen, Pr�positionen und Pronomen bekommt die Schulgrammatik eine tragf�hige Grundlage. Die Tabellen eignen sich dar�ber hinaus f�r DaF-/DaZ-Kurse sowie f�r die autodidaktische Aneignung des Deutschen als Fremd- oder Zweitsprache. Die neue Auflage wurde gr�ndlich �berarbeitet und erweitert.	3. �berarb. u. erw. Aufl.	T�bingen	Narr	2019	318	Bachelor-Wissen		978-3-8233-8134-1					 			urn:nbn:de:101:1-2019111818314224958564	elibrary.narr.digital/book/99.125005/9783823391340	Institut f�r Germanistik
OPUS4-43710	Dissertation	Stopp, Karl-Thomas		Die �berschuldung der Personengesellschaft			K�ln	Heymann	2019	248	KTS-Schriften zum Insolvenzrecht ; 60		978-3-452-29303-9					 					B�rgerliches Recht
OPUS4-42676	Dissertation	Schultze, Christiane		Totalsynthese benzoannellierter Sauerstoffheterocyclen durch Mikrowellen induzierte Tandem-Sequenzen					2019	193								 					Institut f�r Chemie
OPUS4-43530	Buch (Monographie)	Juchler, Ingo		1989 in Berlin	Als Hauptstadt der DDR war Ost-Berlin ein wichtiges Zentrum der Friedlichen Revolution von 1989. Ingo Juchler nimmt die Leserinnen und Leser mit zu den zentralen Schaupl�tzen der Ereignisse, wobei er den Bogen vom 17. Juni 1953 �ber die Protestbewegung der 1970er Jahre bis hin zu den Demonstrationen im Herbst 1989 und den Ereignissen rund um den Mauerfall schl�gt. Informative Texte zu den Hintergr�nden, zahlreiche Abbildungen und eine �bersichtskarte machen das Buch zu einem anschaulichen Zeitreisef�hrer in die j�ngere deutsche Geschichte.		Berlin	bebra	2019	128			978-3-8148-0236-7					 					Wirtschaftswissenschaften
OPUS4-43468	Wissenschaftlicher Artikel	Christians, Heiko		Kultur und Gefahr			Paderborn	Fink	2019	17	Gefahr oder Risiko : zur Geschichte von Kalk�l und Einbildungskraft		978-3-7705-6425-5					 	9	26			Sozialwissenschaften
OPUS4-43582	Dissertation	Ruzanska, Ulrike Alexandra		Intuitives Essverhalten im Kontext der Gesundheitspsychologie					2019	139								 					Department Psychologie
OPUS4-43101	Dissertation	Jurczok, Anne		Schulwahl unter &#8222;gleichwertigen" Einzelschulen	In zweigliedrigen Sekundarschulsystemen mit gleicher Abschlussorientierung - wie sie in immer mehr Bundesl�ndern zu finden sind - tritt die Einzelschule mit ihren spezifischen Eigenschaften in den Fokus der Schulwahl. Als eine der ersten Studien untersucht Anne Jurczok, welche Schuleigenschaften Eltern pr�ferieren, welche Informationen sie nutzen und welche Einzelschulen sie unter den Bedingungen der Zweigliedrigkeit ausw�hlen und ablehnen. Auf Grundlage werterwartungstheoretischer �berlegungen und der Frame-Selektion wird der Prozess der Einzelschulwahl konzeptualisiert und die institutionellen, lokalen und sozio-kulturellen Bedingungen der Wahlsituation ber�cksichtigt. &#8203;		Wiesbaden	Springer	2019	308			978-3-658-26198-6					 					Department Erziehungswissenschaft
OPUS4-43104	Wissenschaftlicher Artikel	Thielicke, Hubert		Washington will Nuklearabkommen zu Fall bringen			Potsdam	WeltTrends	2019	4	WeltTrends das au�enpolitische Journal	27	978-3-945802-07-4					 153	36	40			Sozialwissenschaften
OPUS4-43044	Wissenschaftlicher Artikel	Kr�mer, Raimund		Kuba und die DDR		2. , unver�nderte Ausg.	Potsdam	WeltTrends	2019	9	Die verschwundene Diplomatie							 	223	232			WeltTrends e.V. Potsdam
OPUS4-43045	Wissenschaftlicher Artikel	Kr�mer, Raimund		Chile und die DDR		2. , unver�nderte Ausg.	Potsdam	WeltTrends	2019	9	Die verschwundene Diplomatie							 	233	242			WeltTrends e.V. Potsdam
OPUS4-43025	Buch (Monographie)		Voigt, Frank; Tzanakis Papadakis, Nicos; Loheit, Jan; Baehrens, Konstantin	Material und Begriff			Hamburg	Argument	2019	319	Argument / Sonderband ; Neue Folge, AS 322		978-3-86754-322-4					 					Institut f�r Philosophie
OPUS4-43026	Wissenschaftlicher Artikel	Baehrens, Konstantin; Voigt, Frank		Die Problemgeschichte wird tats�chlich zur Geschichte der Probleme			Hamburg	Argument	2019	49	Material und Begriff ; Arbeitsverfahren und theoretische Beziehungen Walter Benjamins		978-3-86754-322-4					 	193	242			Institut f�r Philosophie
OPUS4-43027	Wissenschaftlicher Artikel	Rosso, Enrico		Moskauer Passagen			Hamburg	Argument	2019	32	Material und Begriff ; Arbeitsverfahren und theoretische Beziehungen Walter Benjamins		978-3-86754-322-4					 	102	134			Institut f�r Philosophie
OPUS4-43029	Dissertation	Thiele, Johannes		Kontextualisiertes Textverstehen im Literaturunterricht	Bei der Arbeit mit literarischen Texten spielen Kontexte f�r das Verstehen naturgem�� eine herausgehobene Rolle. Lehrerinnen und Lehrer sind dabei mit vielf�ltigen Problemen konfrontiert: Welche Kontexte sind in welchen Jahrgangsstufen sinnvoll und ergiebig? Wann �berfrachtet die Anreicherung mit Kontexten einen Verstehensprozess, wann ist sie unumg�nglich? Wie gelingt es, dass Lernende Kontexte nicht nur schematisch, sondern flexibel f�r das Verstehen einsetzen? Wie k�nnen die Forderungen der Bildungsstandards und Lehrpl�ne nach einer intensiven Kontextualisierung im Unterricht konkret umgesetzt werden? Der vorliegende Band gibt auf diese Fragen anwendungsorientierte Antworten. Dies geschieht auf drei Ebenen: Zum einen wird �ber einen analytischen Zugang der Kontextbegriff systematisiert (mit den Kontextbereichen Gattung, Literaturgeschichte, Autorbiografie und Intertextualit�t), zum anderen wird in einer empirischen Studie die Wirksamkeit reflektierter Kontextnutzung f�r das Textverstehen verdeutlicht. Drittens werden erprobte Modelle f�r den konkreten Einsatz im Unterricht vorgestellt und diskutiert. So k�nnen Kontexte als ein ergiebiges Werkzeug f�r den Unterricht bereitgestellt werden.		Baltmannsweiler	Schneider	2019	XII, 350			978-3-8340-1952-3					 					Institut f�r Germanistik
OPUS4-43030	Dissertation	B�r, Roy F.		Grundlagen der wettbewerbsrechtlichen Unternehmensverantwortlichkeit im europ�ischen Bu�geldverfahren	Immer wieder gelingt es Konzernen durch geschickte gesellschaftsrechtliche Konstrukte, ihre Verantwortlichkeit f�r wettbewerbsrechtliche Verst��e auszugliedern oder sich dieser g�nzlich zu entziehen. Dem begegnet das Europ�ische Wettbewerbsrecht in Bu�geldverfahren seit einiger Zeit mit der Zusammenfassung rechtlich selbst�ndiger Gesellschaften zu einem Unternehmen als �wirtschaftliche Einheit�. Diese Untersuchung widmet sich der methodischen Grundlegung dieses wettbewerbsrechtlichen Unternehmensbegriffs. Sie geht zudem der Frage nach, ob er sich auf das Deutsche Wettbewerbsrecht, insbesondere auf kartellrechtliche Schadensersatzklagen �bertragen l�sst.		Hamburg	Kovac	2019	214	Studienreihe Wirtschaftsrechtliche Forschungsergebnisse ; 207		978-3-339-10992-7					 					�ffentliches Recht
